$T_c(L=40)$, $T_c(L=60)$, $T_c(L=80)$,$T_c(L=100)$, Computed $T_c$, Exact $T_c$, Relative deviation
 2.2888, 2.2813, 2.2775, 2.2813, 2.2914, 2.269, $9.9 \cdot 10^{-3}$
 2.2888, 2.2813, 2.2775, 2.2813, 2.755, 2.269, $2.8 \cdot 10^{-3}$
